song,artist,lyric
Macarena,Los del Río,"Dale a tu cuerpo alegría Macarena
Que tu cuerpo es pa' darle alegria y cosa buena
Dale a tu cuerpo alegría Macarena
Hey Macarena

Dale a tu cuerpo alegría Macarena
Que tu cuerpo es pa' darle alegría y cosa buena
Dale a tu cuerpo alegría Macarena
Hey Macarena

Macarena tiene un novio que se llama
Que se llama de apellido Vitorino
Y en la jura de bandera del muchacho
Se la vio con dos amigos

Macarena tiene un novio que se llama
Que se llama de apellido Vitorino
Y en la jura de bandera el muchacho
Se metió con dos amigos

Dale a tu cuerpo alegría Macarena
Que tu cuerpo es pa' darle alegría y cosa buena
Dale a tu cuerpo alegría Macarena
Hey Macarena

Dale a tu cuerpo alegría Macarena
Que tu cuerpo es pa' darle alegría y cosa buena
Dale a tu cuerpo alegría Macarena
Hey Macarena

Macarena tiene un novio que se llama
Que se llama de apellido Vitorino
Que en la jura de bandera el muchacho
Se metió con dos amigos

Dale a tu cuerpo alegría Macarena
Que tu cuerpo es pa' darle alegría y cosa buena
Dale a tu cuerpo alegría Macarena
Hey Macarena

Dale a tu cuerpo alegría Macarena
Que tu cuerpo es pa' darle alegría y cosa buena
Dale a tu cuerpo alegría Macarena
Hey Macarena

Macarena sueña con El Corte Inglés
Y se compra los modelos más modernos
Le gustaría vivir en Nueva York
Y ligar un novio nuevo

Macarena sueña con El Corte Inglés
Que se compra los modelos más modernos
Le gustaría vivir en Nueva York
Y ligar un novio nuevo

Dale a tu cuerpo alegría Macarena
Que tu cuerpo es pa' darle alegría y cosa buena
Dale a tu cuerpo alegría Macarena
Hey Macarena

Dale a tu cuerpo alegría Macarena
Que tu cuerpo es pa' darle alegría y cosa buena
Dale a tu cuerpo alegría Macarena
Hey Macarena

Macarena tiene un novio que se llama
Que se llama de apellido Vitorino
Que en la jura de bandera el muchacho
Se metió con dos amigos

Macarena tiene un novio que se llama
Que se llama de apellido Vitorino
Y en la jura de bandera el muchacho
Se metió con dos amigos

Dale a tu cuerpo alegría Macarena
Que tu cuerpo es pa' darle alegría y cosa buena
Dale a tu cuerpo alegría Macarena
Hey Macarena

Dale a tu cuerpo alegría Macarena
Que tu cuerpo es pa' darle alegría y cosa buena
Dale a tu cuerpo alegría Macarena
Hey Macarena"
(Everything I Do) I Do It for You,Bryan Adams,"Look into my eyes – you will see
What you mean to me
Search your heart, search your soul
And when you find me there, you'll search no more

Don't tell me it's not worth tryin' for
You can't tell me it's not worth dyin' for
You know it's true:
Everything I do, I do it for you

Look into your heart – you will find
There's nothin' there to hide
Take me as I am, take my life
I would give it all, I would sacrifice

Don't tell me it's not worth fightin' for
I can't help it, there's nothin' I want more
You know it's true:
Everything I do, I do it for you, oh, yeah

There's no love like your love
And no other could give more love
There's nowhere unless you're there
All the time, all the way, yeah

Look into your heart, baby...

Oh, you can't tell me it's not worth tryin' for
I can't help it, there's nothin' I want more

Yeah, I would fight for you, I'd lie for you
Walk the wire for you, yeah, I'd die for you

You know it's true:
Everything I do, oh, I do it for you

Everything I do, darling
You will see it's true
You will see it's true
Yeah!
Search your heart and your soul
You can't tell it's not worth dying for
I'll be there
I'd walk the fire for you
I'd die for you
Oh, yeah
I'm going all the time, all the way"
Le Freak,Chic,"(One, two)

Ah, freak out!
Le freak, c'est Chic
Freak out!

Ah, freak out!
Le freak, c'est Chic
Freak out!

Have you heard about the new dance craze?
Listen to us, I'm sure you'll be amazed
Big fun to be had by everyone
It's up to you, it surely can be done

Young and old are doing it, I'm told
Just one try, and you too will be sold
It's called le freak, they're doing it night and day
Allow us, we'll show you the way

Ah, freak out!
Le freak, c'est Chic
Freak out!

All that pressure got you down
Has your head spinning all around
Feel the rhythm, check the rhyme
Come on along and have a real good time

Like the days of stomping at the Savoy
Now we freak, oh, what a joy
Just come on down, two 54
Find a spot out on the floor

Ah, freak out!
Le freak, c'est Chic
Freak out!

Now freak!

I said freak!

Now freak!

All that pressure got you down
Has your head spinning all around
Feel the rhythm, check the ride
Come on along and have a real good time

Like the days of stomping at the Savoy
Now we freak, oh, what a joy
Just come on down, two 54
Find a spot out on the floor

Ah, freak out!
Le freak, c'est Chic
Freak out!

Ah, freak out!
Le freak, c'est Chic
Freak out!"
I Heard It Through the Grapevine,Marvin Gaye,"I bet you're wonderin' how I knew
'Bout your plans to make me blue
With some other guy you knew before
Between the two of us guys
You know I loved you more
It took me by surprise I must say
When I found out yesterday
Don't you know that I heard it through the grapevine
Not much longer would you be mine
Oh I heard it through the grapevine
Oh I'm just about to lose my mind

Honey, honey yeah.
I heard it through the grapevine
Not much longer would you be mine baby

I know a man ain't supposed to cry
But these tears I can't hold inside
Losin' you would end my life you see
'Cause you mean that much to me
You could have told me yourself
That you loved someone else
Instead I heard it through the grapevine
Not much longer would you be mine
Oh, I heard it through the grapevine
And I'm just about to lose my mind

Honey, honey yeah
I heard it through the grapevine
Not much longer would you be mine, baby

People say believe half of what you see
Some and none of what you hear
But I can't help but be confused
If it's true please tell me dear
Do you plan to let me go
For the other guy you loved before?

Don't you know I heard it through the grapevine
Not much longer would you be mine, baby yeah
I heard it through the grapevine
I'm just about to lose my mind
Honey, honey, yeah
I heard it through the grapevine,
Not much longer would you be mine, baby yeah

Honey, honey, yeah
I heard it through the grapevine,
Not much longer would you be mine, baby yeah yeah
I heard it through the grapevine,
Not much longer would you be mine, baby yeah yeah"
I'm a Believer,the Monkees,"I thought love was only true in fairy tales
Meant for someone else but not for me.
Love was out to get me
That's the way it seemed.
Disappointment haunted all my dreams.

Then I saw her face, now I'm a believer
Not a trace of doubt in my mind.
I'm in love, I'm a believer!
I couldn't leave her if I tried.

I thought love was more or less a givin' thing,
Seems the more I gave the less I got.
What's the use in tryin'?
All you get is pain.
When I needed sunshine I got rain.

Then I saw her face, now I'm a believer
Not a trace of doubt in my mind.
I'm in love, I'm a believer!
I couldn't leave her if I tried.

Love was out to get me
Now, that's the way it seemed
Disappointment haunted all my dreams

Oh, then I saw her face, now I'm a believer
Not a trace of doubt in my mind.
I'm in love, I'm a believer!
I couldn't leave her if I tried.

Yes, I saw her face, now I'm a believer
And not a trace of doubt in my mind.
Said I'm a believer
I'm a believer
I'm a believer
Said I'm a believer
I'm a believer
I said I'm a believer
I'm a believer"
You Light Up My Life,Debby Boone,"So many nights
I'd sit by my window
Waiting for someone
To sing me his song
So many dreams
I've kept deep inside me
Alone in the dark
But now you've come along

And you
Light up my life
You give me hope
To carry on
You light up my days
And fill my nights
With song

Rolling at sea
Adrift on the waters
Could it be finally
I'm turning for home?
Finally, a chance
To say, ""Hey, I love you""
Never again
To be all alone

And you
Light up my life
You give me hope
To carry on
You light up my days
And fill my nights
With song

And you
Light up my life
You give me hope
To carry on
You light up my days
And fill my nights
With song

It can't be wrong
When it feels so right
'Cause you
You light up my life"
Hey Jude,The Beatles,"Hey, Jude, don't make it bad
Take a sad song and make it better
Remember to let her into your heart
Then you can start to make it better

Hey, Jude, don't be afraid
You were made to go out and get her
The minute you let her under your skin
Then you begin to make it better

And anytime you feel the pain,
Hey, Jude, refrain
Don't carry the world upon your shoulders
For well you know that it's a fool
Who plays it cool
By making his world a little colder

Nah, nah nah, nah nah, nah nah, nah nah

Hey, Jude, don't let me down
You have found her, now go and get her
Remember to let her into your heart
Then you can start to make it better

So let it out and let it in,
Hey, Jude, begin
You're waiting for someone to perform with
And don't you know that it's just you,
Hey, Jude, you'll do
The movement you need is on your shoulder

Nah, nah nah, nah nah, nah nah, nah nah yeah

Hey, Jude, don't make it bad
Take a sad song and make it better
Remember to let her under your skin
Then you'll begin to make it better, better, better, better, better... oh!

Nah, nah nah, nah nah, nah, nah, nah nah,
Hey, Jude
Nah, nah nah, nah nah, nah, nah, nah nah,
Hey, Jude
Nah, nah nah, nah nah, nah, nah, nah nah,
Hey, Jude (Jude)
Nah, nah nah, nah nah, nah, nah, nah nah,
Hey, Jude (yeah, yeah, yeah)
Nah, nah nah, nah nah, nah, nah, nah nah,
Hey, Jude
Nah, nah nah, nah nah, nah, nah, nah nah,
Hey, Jude (don't make it bad, Jude)
Nah, nah nah, nah nah, nah, nah, nah nah,
Hey, Jude (take a sad song and make it better)
Nah, nah nah, nah nah, nah, nah, nah nah,
Hey, Jude (oh, Jude)
Nah, nah nah, nah nah, nah, nah, nah nah,
Hey, Jude (Jude, hey, Jude, whoa)
Nah, nah nah, nah nah, nah, nah, nah nah,
Hey, Jude
Nah, nah nah, nah nah, nah, nah, nah nah,
Hey, Jude (ooh)
Nah, nah nah, nah nah, nah, nah, nah nah,
Hey, Jude
Nah, nah nah, nah nah, nah, nah, nah nah,
Hey, Jude
Nah, nah nah, nah nah, nah, nah, nah nah,
Hey, Jude
Nah, nah nah, nah nah, nah, nah, nah nah,
Hey, Jude
Nah, nah nah, nah nah, nah, nah, nah nah,
Hey, Jude [fade out]"
Whoomp! (There It Is),Tag Team,"Heeeeeeey!
Boom shik boom shik
Shakka-lakka-lakka boom shik boom shik
Shakka-lakka-lakka boom shik boom shik
Shakka-lakka-lakka boom shik boom shik
Ha-ha ha-ha-ha ha-ha ha ha-ha

Whoomp!
There it is!
Whoomp!
There it is!
Whoomp!
There it is!
Whoomp!
There it is!
Whoomp!
There it is!
Whoomp!
There it is!
Whoomp!
There it is!
Whoomp!
There it is!

Uh-ah-ah ah-ah-ah-ah
Ooh-ooh
Uh-ah-ah ah-ah-ah-ah
Uh-ah-ah ah-ah-ah-ah
Ooh-ooh
Uh-ah-ah ah-ah-ah a-a a-a a-a a a

Whoomp!
There it is! (Whoomp!)
Whoomp!
There it is!
Whoomp!
There it is! (Whoomp!)
Whoomp!
There it is!
Whoomp!
There it is! (Whoomp!)
Whoomp!
There it is!
Whoomp!
There it is! (Whoomp!)
Whoomp!
There it is!

Boom shik boom shik (There it is!) (Shakka-lakka-Shakka-lakka) (There it is!)
Shakka-lakka-lakka boom shik boom shik (There it is!) (Shakka-lakka-Shakka-lakka) (There it is!)
Shakka-lakka-lakka boom shik boom shik (There it is!) (Shakka-lakka-Shakka-lakka) (There it is!)
Shakka-lakka-lakka boom shik boom shik (There it is!) (Shakka-lakka-Shakka-lakka) (There it is!)

Uh-ah-ah ah-ah-ah-ah
Ooh-ooh
Uh-ah-ah ah-ah-ah-ah
Uh-ah-ah ah-ah-ah-ah
Ooh-ooh
Uh-ah-ah ah-ah-ah a-a a-a a-a a a

Whoomp!
There it is! (Whoomp!)
Whoomp!
There it is!
Whoomp!
There it is! (Whoomp!)
Whoomp!
There it is!
Whoomp!
There it is! (Whoomp!)
Whoomp!
There it is!
Whoomp!
There it is! (Whoomp!)
Whoomp!
There it is!
Ooh-ooh

Boom shik boom shik (There it is!) (Shakka-lakka-Shakka-lakka) (There it is!)
Shakka-lakka-lakka boom shik boom shik (There it is!) (Shakka-lakka-Shakka-lakka) (There it is!)
Shakka-lakka-lakka boom shik boom shik (There it is!) (Shakka-lakka-Shakka-lakka) (There it is!)
Shakka-lakka-lakka boom shik boom shik (There it is!) (Shakka-lakka-Shakka-lakka) (There it is!)

Boom shik boom shik
Ooh-ooh (Come on!)
Boom shik boom shik
Ooh-ooh
Boom shik boom shik
Ooh-ooh

Heeeeeeeeey!

Boom shik boom shik (There it is!) (Shakka-lakka-Shakka-lakka) (There it is!)
Shakka-lakka-lakka boom shik boom shik (There it is!) (Shakka-lakka-Shakka-lakka) (There it is!)
Shakka-lakka-lakka boom shik boom shik (There it is!) (Shakka-lakka-Shakka-lakka) (There it is!)
Shakka-lakka-lakka boom shik boom shik (There it is!) (Shakka-lakka-Shakka-lakka) (There it is!)

Boom shik boom shik (There it is!) (Shakka-lakka-Shakka-lakka) (There it is!)
Boom shik boom shik (There it is!) (Shakka-lakka-Shakka-lakka) (There it is!)
Boom shik boom shik (There it is!) (Shakka-lakka-Shakka-lakka) (There it is!)
Boom shik boom shik (There it is!) (Shakka-lakka-Shakka-lakka) (There it is!)"
Old Town Road,Lil Nas X featuring Billy Ray Cyrus,0
Radioactive,Imagine Dragons,"Whoa, oh, oh
Whoa, oh, oh
Whoa, oh, oh
Whoa

I'm waking up to ash and dust
I wipe my brow and I sweat my rust
I'm breathing in the chemicals
[Inhale, exhale]

I'm breaking in, shaping up, then checking out on the prison bus
This is it, the apocalypse
Whoa oh

I'm waking up, I feel it in my bones
Enough to make my system blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age
Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive
Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive

I raise my flag and dye my clothes
It's a revolution, I suppose
We're painted red to fit right in
Whoa oh

I'm breaking in, shaping up, then checking out on the prison bus
This is it, the apocalypse
Whoa oh

I'm waking up, I feel it in my bones
Enough to make my system blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age
Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive
Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive

All systems go, the sun hasn't died
Deep in my bones, straight from inside

I'm waking up, I feel it in my bones
Enough to make my system blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age
Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive
Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive"
Somebody That I Used to Know,Gotye featuring Kimbra,"[Gotye:]
Now and then I think of when we were together
Like when you said you felt so happy you could die
Told myself that you were right for me
But felt so lonely in your company
But that was love and it's an ache I still remember

You can get addicted to a certain kind of sadness
Like resignation to the end, always the end
So when we found that we could not make sense
Well you said that we would still be friends
But I'll admit that I was glad that it was over

But you didn't have to cut me off
Make out like it never happened and that we were nothing
And I don't even need your love
But you treat me like a stranger and that feels so rough
No you didn't have to stoop so low
Have your friends collect your records and then change your number
I guess that I don't need that though
Now you're just somebody that I used to know

Now you're just somebody that I used to know
Now you're just somebody that I used to know

[Kimbra:]
Now and then I think of all the times you screwed me over
But had me believing it was always something that I'd done
But I don't wanna live that way
Reading into every word you say
You said that you could let it go
And I wouldn't catch you hung up on somebody that you used to know

[Gotye:]
But you didn't have to cut me off
Make out like it never happened and that we were nothing
And I don't even need your love
But you treat me like a stranger and that feels so rough
No you didn't have to stoop so low
Have your friends collect your records and then change your number
I guess that I don't need that though
Now you're just somebody that I used to know

Somebody
(I used to know)
Somebody
(Now you're just somebody that I used to know)

Somebody
(I used to know)
Somebody
(Now you're just somebody that I used to know)

(I used to know)
(That I used to know)
(I used to know)
Somebody"
Closer,The Chainsmokers featuring Halsey,"Hey, I was doing just fine before I met you
I drink too much and that's an issue
But I'm OK
Hey, you tell your friends it was nice to meet them
But I hope I never see them
Again

I know it breaks your heart
Moved to the city in a broke-down car
And four years, no calls
Now you're looking pretty in a hotel bar
And I, I, I, I, I can't stop
No, I, I, I, I, I can't stop

So, baby, pull me closer
In the back seat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of that mattress that you stole
From your roommate back in Boulder
We ain't ever getting older

We ain't ever getting older
We ain't ever getting older

You look as good as the day I met you
I forget just why I left you,
I was insane
Stay and play that Blink-182 song
That we beat to death in Tucson
OK

I know it breaks your heart
Moved to the city in a broke-down car
And four years, no call
Now I'm looking pretty in a hotel bar
And I, I, I, I, I can't stop
No, I, I, I, I, I can't stop

So, baby, pull me closer
In the back seat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of that mattress that you stole
From your roommate back in Boulder
We ain't ever getting older

We ain't ever getting older
We ain't ever getting older

So, baby, pull me closer
In the back seat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of that mattress that you stole
From your roommate back in Boulder
We ain't ever getting older

We ain't ever getting older
No, we ain't ever getting older
We ain't ever getting older
No, we ain't ever getting older
We ain't ever getting older
We ain't ever getting older
We ain't ever getting older
No, we ain't ever getting older

We ain't ever getting older
No, we ain't ever getting older"
All of Me,John Legend,"What would I do without your smart mouth?
Drawin' me in and you kickin' me out
You've got my head spinnin', no kiddin'
I can't pin you down
What's goin' on in that beautiful mind?
I'm on your magical mystery ride
And I'm so dizzy, don't know what hit me
But I'll be alright

My head's under water, but I'm breathing fine
You're crazy and I'm out of my mind

'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginnin'
Even when I lose, I'm winnin'

'Cause I give you all of me
And you give me all of you, oh-oh

How many times do I have to tell you?
Even when you're crying, you're beautiful too
The world is beating you down, I'm around
Through every mood
You're my downfall, you're my muse
My worst distraction, my rhythm and blues
I can't stop singing, it's ringing
In my head for you

My head's under water, but I'm breathin' fine
You're crazy and I'm out of my mind

'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginnin'
Even when I lose, I'm winnin'

'Cause I give you all of me
And you give me all of you, oh-oh

Give me all of you, oh
Cards on the table, we're both showing hearts
Risking it all, though it's hard

'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginnin'
Even when I lose, I'm winnin'

'Cause I give you all of me
And you give me all of you

I give you all of me
And you give me all of you, oh-oh"
Despacito,Luis Fonsi and Daddy Yankee featuring Justin Bieber,"[Justin Bieber:]
Coming over in my direction
So thankful for that, it's such a blessin', yeah
Turn every situation into Heaven, yeah
Oh, you are my sunrise on the darkest day
Got me feelin' some kind of way
Make me wanna savour every moment slowly, slowly
You fit me tailor-made, love, how you put it on
Got the only key, know how to turn it on
The way you nibble on my ear,
The only words I wanna hear
Baby, take it slow so we can last long

[Luis Fonsi:]
Oh, tú, tú eres el imán y yo soy el metal
Me voy acercando y voy armando el plan
Sólo con pensarlo se acelera el pulso

[Daddy Yankee:]
Oh, yeah ya, ya me está gustando más de lo normal
Todos mis sentidos van pidiendo más
Esto hay que tomarlo sin ningún apuro

[Justin Bieber:]
Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmo en las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito

[Daddy Yankee:]
Sube, sube, sube
Sube, sube

[Luis Fonsi (Daddy Yankee):]
Quiero ver bailar tu pelo
Quiero ser tu ritmo
Que le enseñes a mi boca
Tus lugares favoritos
(Favorito, favorito, baby)
Déjame sobrepasar tus zonas de peligro
Hasta provocar tus gritos
Y que olvides tu apellido

[Daddy Yankee:]
Si te pido un beso, ven, dámelo
Yo sé que estás pensándolo
Llevo tiempo intentándolo
Mami, esto es dando y dándolo
Sabes que tu corazón conmigo te hace bang-bang
Sabes que esa beba está buscando de mi bang-bang
Ven, prueba de mi boca para ver cómo te sabe
Quiero, quiero, quiero ver cuánto amor a ti te cabe
Yo no tengo prisa, yo me quiero dar el viaje
Empecemos lento, después salvaje

[Daddy Yankee & Justin Bieber:]
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito

[Daddy Yankee:]
Cuando tú me besas con esa destreza
Veo que eres malicia con delicadeza

[Daddy Yankee & Justin Bieber:]
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito

[Daddy Yankee:]
Y es que esa belleza es un rompecabezas
Pero pa' montarlo aquí tengo la pieza
¡Oye!

[Justin Bieber:]
Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmo en las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito

[Daddy Yankee:]
Sube, sube, sube
Sube, sube

[Luis Fonsi (Daddy Yankee):]
Quiero ver bailar tu pelo
Quiero ser tu ritmo
Que le enseñes a mi boca
Tus lugares favoritos
(Favorito, favorito, baby)
Déjame sobrepasar tus zonas de peligro
Hasta provocar tus gritos
Y que olvides tu apellido

[Luis Fonsi:]
Despacito
This is how we do it down in Puerto Rico
I just wanna hear you screaming, ""¡Ay, Bendito!""
I can move forever cuando esté contigo
¡Báilalo!

[Daddy Yankee, Luis Fonsi & Justin Bieber:]
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito

[Luis Fonsi (Daddy Yankee):]
Que le enseñes a mi boca
Tus lugares favoritos
(Favorito, favorito, baby)

[Daddy Yankee, Luis Fonsi & Justin Bieber:]
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito

[Luis Fonsi:]
Hasta provocar tus gritos (Fonsi)

[Daddy Yankee:]
Y que olvides tu apellido (D.Y.)

[Justin Bieber:]
Despacito"
Just the Way You Are,Bruno Mars,"Ohhhhh ohhhhhh ohhhhhh ohhhhhhh

Oh, her eyes, her eyes
Make the stars look like they're not shinin'
Her hair, her hair
Falls perfectly without her trying
She's so beautiful
And I tell her everyday
Yeah

I know, I know
When I compliment her she won't believe me
And it's so, it's so
Sad to think that she don't see what I see
But every time she asks me, ""Do I look okay?""
I say

When I see your face (face, face...)
There's not a thing that I would change
'Cause you're amazing (amazing)
Just the way you are (are)
And when you smile (smile, smile...)
The whole world stops and stares for a while
'Cause, girl, you're amazing (amazing)
Just the way you are (are)
Yeah

Her lips, her lips
I could kiss them all day if she'd let me
Her laugh, her laugh
She hates but I think it's so sexy
She's so beautiful
And I tell her everyday

Oh you know, you know, you know
I'd never ask you to change
If perfect's what you're searching for
Then just stay the same
So don't even bother asking if you look okay
You know I'll say,

When I see your face (face, face...)
There's not a thing that I would change
'Cause you're amazing (amazing)
Just the way you are (are)
And when you smile (smile, smile...)
The whole world stops and stares for a while
'Cause, girl, you're amazing (amazing)
Just the way you are (are)

The way you are
The way you are
Girl, you're amazing (amazing)
Just the way you are (are)

When I see your face
There's not a thing that I would change
'Cause you're amazing (amazing)
Just the way you are (are)
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing
Just the way you are

Yeah"
Firework,Katy Perry,"Do you ever feel like a plastic bag
Drifting through the wind
Wanting to start again?
Do you ever feel, feel so paper-thin
Like a house of cards, one blow from caving in?

Do you ever feel already buried deep
Six feet under screams but no one seems to hear a thing
Do you know that there's still a chance for you
'Cause there's a spark in you?

You just gotta ignite the light and let it shine
Just own the night like the 4th of July

'Cause, baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""Ah, ah, ah""
As you shoot across the sky

Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""Ah, ah, ah""
You're gonna leave 'em all in awe, awe, awe

You don't have to feel like a wasted space
You're original, cannot be replaced
If you only knew what the future holds
After a hurricane comes a rainbow

Maybe a reason why all the doors are closed
So you could open one that leads you to the perfect road
Like a lightning bolt your heart will glow
And when it's time you'll know

You just gotta ignite the light and let it shine
Just own the night like the 4th of July

'Cause, baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""Ah, ah, ah""
As you shoot across the sky

Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""Ah, ah, ah""
You're gonna leave 'em all in awe, awe, awe

Boom, boom, boom
Even brighter than the moon, moon, moon
It's always been inside of you, you, you
And now it's time to let it through, -ough, -ough

'Cause, baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""Ah, ah, ah""
As you shoot across the sky

Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""Ah, ah, ah""
You're gonna leave 'em all in awe, awe, awe

Boom, boom, boom
Even brighter than the moon, moon, moon
Boom, boom, boom
Even brighter than the moon, moon, moon"
