artist,song,album,album2
Bing Crosby,I Never Knew (That Roses Grew),,I Never Knew (That Roses Grew)
Bing Crosby,I Sing Noel,,I Sing Noel
Bing Crosby,I'm An Old Cowhand (From The Rio Grande),,I'm An Old Cowhand (From The Rio Grande)
Bing Crosby,I'm Saving A Dime (Out Of Every Dollar),,I'm Saving A Dime (Out Of Every Dollar)
Bing Crosby,I've Got The World On A String,,I've Got The World On A String
Bing Crosby,If I Had My Way,,If I Had My Way
Bing Crosby,It's Always You,,It's Always You
Bing Crosby,Lazy,,Lazy
Bing Crosby,Let Me Call You Sweetheart,,Let Me Call You Sweetheart
Bing Crosby,Let's All Meet At My House,,Let's All Meet At My House
Bing Crosby,Let's Put Out The Lights (And Go To Sleep),,Let's Put Out The Lights (And Go To Sleep)
Bing Crosby,Love In Bloom,,Love In Bloom
Bing Crosby,Love Thy Neighbor,,Love Thy Neighbor
Bing Crosby,Lovely Hula Hands,,Lovely Hula Hands
Bing Crosby,Mine,,Mine
Bing Crosby,Miss You,,Miss You
Bing Crosby,Mister Meadowlark,,Mister Meadowlark
Bing Crosby,Moonlight Becomes You,,Moonlight Becomes You
Bing Crosby,My Melancholy Baby,,My Melancholy Baby
Bing Crosby,My Woman,,My Woman
Bing Crosby,Now You Has Jazz,,Now You Has Jazz
Bing Crosby,Only Forever,,Only Forever
Bing Crosby,Personality,,Personality
Bing Crosby,Pistol Packin' Mama,,Pistol Packin' Mama
Bing Crosby,Please,,Please
Bing Crosby,Pledging My Love,,Pledging My Love
Bing Crosby,Ridin' Down The Canyon,,Ridin' Down The Canyon
Bing Crosby,"Rudolph, The Red-Nosed Reindeer",,"Rudolph, The Red-Nosed Reindeer"
Bing Crosby,San Antonio Rose,,San Antonio Rose
Bing Crosby,San Fernando Valley,,San Fernando Valley
Bing Crosby,Shine,,Shine
Bing Crosby,Sing Me A Song Of The Islands,,Sing Me A Song Of The Islands
Bing Crosby,Snowbird,,Snowbird
Bing Crosby,"Softly, As In A Morning Sunrise",,"Softly, As In A Morning Sunrise"
Bing Crosby,Somebody Loves Me,,Somebody Loves Me
Bing Crosby,Sweet Georgia Brown,,Sweet Georgia Brown
Bing Crosby,Sweet Potato Piper,,Sweet Potato Piper
Bing Crosby,Swinging On A Star,,Swinging On A Star
Bing Crosby,Take Me Back To My Boots And Saddle,,Take Me Back To My Boots And Saddle
Bing Crosby,Tallahassee,,Tallahassee
Bing Crosby,Tea For Two,,Tea For Two
Bing Crosby,Temptation,,Temptation
Bing Crosby,That's For Me,,That's For Me
Bing Crosby,The Birth Of The Blues,,The Birth Of The Blues
Bing Crosby,The Christmas Song,,The Christmas Song
Bing Crosby,The Daughter Of Molly Malone,,The Daughter Of Molly Malone
Bing Crosby,The Day You Came Along,,The Day You Came Along
Bing Crosby,The First Noel,,The First Noel
Bing Crosby,The Road To Morocco,,The Road To Morocco
Bing Crosby,The Search is Through,,The Search is Through
Bing Crosby,The Secret Of Christmas,,The Secret Of Christmas
Bing Crosby,The Singing Hills,,The Singing Hills
Bing Crosby,The Twelve Days Of Christmas,,The Twelve Days Of Christmas
Bing Crosby,Too Romantic,,Too Romantic
Bing Crosby,True Love,,True Love
Bing Crosby,Tumbling Tumbleweeds,,Tumbling Tumbleweeds
Bing Crosby,Twilight On The Trail,,Twilight On The Trail
Bing Crosby,Wait Till The Sun Shines Nellie,,Wait Till The Sun Shines Nellie
Bing Crosby,Walking The Floor Over You,,Walking The Floor Over You
Bing Crosby,We'll Rest At The End Of The Trail,,We'll Rest At The End Of The Trail
Bing Crosby,What Do We Do With The World?,,What Do We Do With The World?
Bing Crosby,When A Child Is Born,,When A Child Is Born
Bing Crosby,When Day Is Done,,When Day Is Done
Bing Crosby,When I Take My Sugar To Tea,,When I Take My Sugar To Tea
Bing Crosby,When You Make Love To Me (Don't Make Believe),,When You Make Love To Me (Don't Make Believe)
Bing Crosby,Where The Blue Of The Night,,Where The Blue Of The Night
Bing Crosby,Who Calls?,,Who Calls?
Bing Crosby,With Every Breath I Take,,With Every Breath I Take
Bing Crosby,Yes Indeed,,Yes Indeed
Bing Crosby,You Are My Sunshine,,You Are My Sunshine
Bing Crosby,You Keep Coming Back Like A Song,,You Keep Coming Back Like A Song
Bing Crosby,You're A Sweet Little Headache,,You're A Sweet Little Headache
Bing Crosby,You're Driving Me Crazy,,You're Driving Me Crazy
Bing Crosby,You're Getting To Be A Habit With Me,,You're Getting To Be A Habit With Me
Elton John,Empty Sky,Empty Sky,Empty Sky
Elton John,Val-hala,Empty Sky,Empty Sky
Elton John,Western Ford Gateway,Empty Sky,Empty Sky
Elton John,Hymn 2000,Empty Sky,Empty Sky
Elton John,Lady What's Tomorrow,Empty Sky,Empty Sky
Elton John,Sails,Empty Sky,Empty Sky
Elton John,The Scaffold,Empty Sky,Empty Sky
Elton John,Skyline Pigeon,Empty Sky,Empty Sky
Elton John,Gulliver,Empty Sky,Empty Sky
Elton John,Lady Samantha,Empty Sky,Empty Sky
Elton John,All Across The Havens,Empty Sky,Empty Sky
Elton John,It's Me That You Need,Empty Sky,Empty Sky
Elton John,Just Like Strange Rain,Empty Sky,Empty Sky
Elton John,Your Song,One Night Only,One Night Only
Elton John,I Need You To Turn To,Elton John,Elton John
Elton John,Take Me To The Pilot,Elton John,Elton John
Elton John,No Shoe Strings On Louise,Elton John,Elton John
Elton John,First Episode At Hienton,Elton John,Elton John
Elton John,Sixty Years On,Elton John,Elton John
Elton John,Border Song,Elton John,Elton John
Elton John,The Greatest Discovery,Elton John,Elton John
Elton John,The Cage,Elton John,Elton John
Elton John,The King Must Die,Elton John,Elton John
Elton John,Bad Side Of The Moon,Elton John,Elton John
Elton John,Grey Seal,Goodbye Yellow Brick Road,Goodbye Yellow Brick Road
Elton John,Rock And Roll Madonna,Elton John,Elton John
Elton John,Ballad Of A Well Known Gun,Tumbleweed Connection,Tumbleweed Connection
Elton John,Come Down In Time,Tumbleweed Connection,Tumbleweed Connection
Elton John,Country Comfort,Tumbleweed Connection,Tumbleweed Connection
Elton John,Son Of Your Father,Tumbleweed Connection,Tumbleweed Connection
Elton John,My Father's Gun,Tumbleweed Connection,Tumbleweed Connection
Elton John,Where To Now St. Peter?,Tumbleweed Connection,Tumbleweed Connection
Elton John,Love Song,Tumbleweed Connection,Tumbleweed Connection
Elton John,Amoreena,Tumbleweed Connection,Tumbleweed Connection
Elton John,Talking Old Soldiers,Tumbleweed Connection,Tumbleweed Connection
Elton John,Burn Down The Mission,Tumbleweed Connection,Tumbleweed Connection
Elton John,Into The Old Man's Shoes,Tumbleweed Connection,Tumbleweed Connection
Elton John,Madman Across The Water (Original Version),Tumbleweed Connection,Tumbleweed Connection
Elton John,Friends,Friends,Friends
Elton John,Honey Roll,Friends,Friends
Elton John,Seasons,Friends,Friends
Elton John,Can I Put You On,Friends,Friends
Elton John,Michelle's Song,Friends,Friends
Elton John,I Meant To Do My Work Today (A Day In The Country),Friends,Friends
Elton John,Tiny Dancer,Madman Across The Water,Madman Across The Water
Elton John,Levon,Madman Across The Water,Madman Across The Water
Elton John,Razor Face,Madman Across The Water,Madman Across The Water
Elton John,Madman Across The Water,Madman Across The Water,Madman Across The Water
Elton John,Indian Sunset,Madman Across The Water,Madman Across The Water
Elton John,Holiday Inn,Madman Across The Water,Madman Across The Water
Elton John,Rotten Peaches,Madman Across The Water,Madman Across The Water
Elton John,All The Nasties,Madman Across The Water,Madman Across The Water
Elton John,Goodbye,Madman Across The Water,Madman Across The Water
Elton John,Honky Cat,Honky Chateau,Honky Chateau
Elton John,Mellow,Honky Chateau,Honky Chateau
Elton John,I Think I'm Going To Kill Myself,Honky Chateau,Honky Chateau
Elton John,Susie (Dramas),Honky Chateau,Honky Chateau
Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",One Night Only,One Night Only
Elton John,Salvation,Honky Chateau,Honky Chateau
Elton John,Slave,Honky Chateau,Honky Chateau
Elton John,Amy,Honky Chateau,Honky Chateau
Elton John,Mona Lisas And Mad Hatters,Honky Chateau,Honky Chateau
Elton John,Hercules,Honky Chateau,Honky Chateau
Elton John,Slave (Alternate Take),Honky Chateau,Honky Chateau
Elton John,Daniel,One Night Only,One Night Only
Elton John,Teacher I Need You,Don't Shoot Me (I'm Only The Piano Player),Don't Shoot Me (I'm Only The Piano Player)
Elton John,Elderberry Wine,Don't Shoot Me (I'm Only The Piano Player),Don't Shoot Me (I'm Only The Piano Player)
Elton John,Blues For Baby And Me,Don't Shoot Me (I'm Only The Piano Player),Don't Shoot Me (I'm Only The Piano Player)
Elton John,Midnight Creeper,Don't Shoot Me (I'm Only The Piano Player),Don't Shoot Me (I'm Only The Piano Player)
Elton John,Have Mercy On The Criminal,Don't Shoot Me (I'm Only The Piano Player),Don't Shoot Me (I'm Only The Piano Player)
Elton John,I'm Going To Be A Teenage Idol,Don't Shoot Me (I'm Only The Piano Player),Don't Shoot Me (I'm Only The Piano Player)
Elton John,Texan Love Song,Don't Shoot Me (I'm Only The Piano Player),Don't Shoot Me (I'm Only The Piano Player)
Elton John,Crocodile Rock,One Night Only,One Night Only
Elton John,High Flying Bird,Don't Shoot Me (I'm Only The Piano Player),Don't Shoot Me (I'm Only The Piano Player)
Elton John,Love Lies Bleeding,Goodbye Yellow Brick Road,Goodbye Yellow Brick Road
Elton John,Candle In The Wind,One Night Only,One Night Only
Elton John,Bennie And The Jets,One Night Only,One Night Only
Elton John,Goodbye Yellow Brick Road,One Night Only,One Night Only
Elton John,This Song Has No Title,Goodbye Yellow Brick Road,Goodbye Yellow Brick Road
Elton John,Jamaica Jerk Off,Goodbye Yellow Brick Road,Goodbye Yellow Brick Road
Elton John,I've Seen That Movie Too,Goodbye Yellow Brick Road,Goodbye Yellow Brick Road
Elton John,Sweet Painted Lady,Goodbye Yellow Brick Road,Goodbye Yellow Brick Road
Elton John,The Ballad Of Danny Bailey,Goodbye Yellow Brick Road,Goodbye Yellow Brick Road
Elton John,Dirty Little Girl,Goodbye Yellow Brick Road,Goodbye Yellow Brick Road
Elton John,All The Girls Love Alice,Goodbye Yellow Brick Road,Goodbye Yellow Brick Road
Elton John,Your Sister Can't Twist (But She Can Rock N Roll),Goodbye Yellow Brick Road,Goodbye Yellow Brick Road
Elton John,Saturday Night's Alright For Fighting,One Night Only,One Night Only
Elton John,Roy Rogers,Goodbye Yellow Brick Road,Goodbye Yellow Brick Road
Elton John,Social Disease,Goodbye Yellow Brick Road,Goodbye Yellow Brick Road
Elton John,Harmony,Goodbye Yellow Brick Road,Goodbye Yellow Brick Road
Elton John,Whenever You're Ready (We'll Go Steady Again),Goodbye Yellow Brick Road,Goodbye Yellow Brick Road
Elton John,Jack Rabbit,Goodbye Yellow Brick Road,Goodbye Yellow Brick Road
Elton John,Screw You (Young Man's Blues),Goodbye Yellow Brick Road,Goodbye Yellow Brick Road
Elton John,The Bitch Is Back,One Night Only,One Night Only
Elton John,Pinky,Caribou,Caribou
Elton John,Grimsby,Caribou,Caribou
Elton John,Dixie Lily,Caribou,Caribou
Elton John,Solar Prestige A Gammon,Caribou,Caribou
Elton John,You're So Static,Caribou,Caribou
Elton John,I've Seen The Saucers,Caribou,Caribou
Elton John,Stinker,Caribou,Caribou
Elton John,Don't Let The Sun Go Down On Me,Duets,Duets
Elton John,Ticking,Caribou,Caribou
Elton John,Pinball Wizard,Caribou,Caribou
Elton John,Sick City,Caribou,Caribou
Elton John,Cold Highway,Caribou,Caribou
Elton John,Step Into Christmas,Caribou,Caribou
Elton John,Captain Fantastic And The Brown Dirt Cowboy,Captain Fantastic And The Brown Dirt Cowboy,Captain Fantastic And The Brown Dirt Cowboy
Elton John,Tower Of Babel,Captain Fantastic And The Brown Dirt Cowboy,Captain Fantastic And The Brown Dirt Cowboy
Elton John,Bitter Fingers,Captain Fantastic And The Brown Dirt Cowboy,Captain Fantastic And The Brown Dirt Cowboy
Elton John,Tell Me When The Whistle Blows,Captain Fantastic And The Brown Dirt Cowboy,Captain Fantastic And The Brown Dirt Cowboy
Elton John,Someone Saved My Life Tonight,Captain Fantastic And The Brown Dirt Cowboy,Captain Fantastic And The Brown Dirt Cowboy
Elton John,(Gotta Get A) Meal Ticket,Captain Fantastic And The Brown Dirt Cowboy,Captain Fantastic And The Brown Dirt Cowboy
Elton John,Better Off Dead,Captain Fantastic And The Brown Dirt Cowboy,Captain Fantastic And The Brown Dirt Cowboy
Elton John,Writing,Captain Fantastic And The Brown Dirt Cowboy,Captain Fantastic And The Brown Dirt Cowboy
Elton John,We All Fall In Love Sometimes,Captain Fantastic And The Brown Dirt Cowboy,Captain Fantastic And The Brown Dirt Cowboy
Elton John,Curtains,Captain Fantastic And The Brown Dirt Cowboy,Captain Fantastic And The Brown Dirt Cowboy
Elton John,Lucy In The Sky With Diamonds,Captain Fantastic And The Brown Dirt Cowboy,Captain Fantastic And The Brown Dirt Cowboy
Elton John,One Day (At A Time),Captain Fantastic And The Brown Dirt Cowboy,Captain Fantastic And The Brown Dirt Cowboy
Elton John,House Of Cards,Captain Fantastic And The Brown Dirt Cowboy,Captain Fantastic And The Brown Dirt Cowboy
Elton John,"Medley (Yell Help, Wednesday Night, Ugly)",Rock Of The Westies,Rock Of The Westies
Elton John,Dan Dare (Pilot Of The Future),Rock Of The Westies,Rock Of The Westies
Elton John,Island Girl,Rock Of The Westies,Rock Of The Westies
Elton John,Grow Some Funk Of Your Own,Rock Of The Westies,Rock Of The Westies
Elton John,I Feel Like A Bullet (In The Gun Of Robert Ford),Rock Of The Westies,Rock Of The Westies
Elton John,Street Kids,Rock Of The Westies,Rock Of The Westies
Elton John,Hard Luck Story,Rock Of The Westies,Rock Of The Westies
Elton John,Feed Me,Rock Of The Westies,Rock Of The Westies
Elton John,Billy Bones And The White Bird,Rock Of The Westies,Rock Of The Westies
Elton John,Planes,Rock Of The Westies,Rock Of The Westies
Elton John,Sugar On The Floor,Rock Of The Westies,Rock Of The Westies
Elton John,Tonight,Blue Moves,Blue Moves
Elton John,One Horse Town,Blue Moves,Blue Moves
Elton John,Chameleon,Blue Moves,Blue Moves
Elton John,Boogie Pilgrim,Blue Moves,Blue Moves
Elton John,Cage The Song Bird,Blue Moves,Blue Moves
Elton John,Crazy Water,Blue Moves,Blue Moves
Elton John,Shoulder Holster,Blue Moves,Blue Moves
Elton John,Sorry Seems To Be The Hardest Word,Blue Moves,Blue Moves
Elton John,Between Seventeen And Twenty,Blue Moves,Blue Moves
Elton John,The Wide-Eyed And Laughing,Blue Moves,Blue Moves
Elton John,Someone's Final Song,Blue Moves,Blue Moves
Elton John,Where's The Shoorah?,Blue Moves,Blue Moves
Elton John,If There's A God In Heaven (What's He Waiting For),Blue Moves,Blue Moves
Elton John,Idol,Blue Moves,Blue Moves
Elton John,Bite Your Lip (Get Up And Dance),Blue Moves,Blue Moves
Elton John,Shine On Through,The Complete Thom Bell Sessions,The Complete Thom Bell Sessions
Elton John,Return To Paradise,A Single Man,A Single Man
Elton John,I Don't Care,A Single Man,A Single Man
Elton John,Big Dipper,A Single Man,A Single Man
Elton John,It Ain't Gonna Be Easy,A Single Man,A Single Man
Elton John,Part Time Love,A Single Man,A Single Man
Elton John,Georgia,A Single Man,A Single Man
Elton John,Shooting Star,A Single Man,A Single Man
Elton John,Madness,A Single Man,A Single Man
Elton John,Song For Guy,A Single Man,A Single Man
Elton John,Ego,A Single Man,A Single Man
Elton John,Flintstone Boy,A Single Man,A Single Man
Elton John,I Cry At Night,A Single Man,A Single Man
Elton John,Lovesick,A Single Man,A Single Man
Elton John,Strangers,A Single Man,A Single Man
Elton John,Johnny B. Goode,Victim Of Love,Victim Of Love
Elton John,Warm Love In A Cold World,Victim Of Love,Victim Of Love
Elton John,Born Bad,Victim Of Love,Victim Of Love
Elton John,Thunder In The Night,Victim Of Love,Victim Of Love
Elton John,Spotlight,Victim Of Love,Victim Of Love
Elton John,Street Boogie,Victim Of Love,Victim Of Love
Elton John,Victim Of Love,Victim Of Love,Victim Of Love
Elton John,Chasing The Crown,21 At 33,21 At 33
Elton John,Little Jeannie,21 At 33,21 At 33
Elton John,Sartorial Eloquence,21 At 33,21 At 33
Elton John,Two Rooms At The End Of The World,21 At 33,21 At 33
Elton John,White Lady White Powder,21 At 33,21 At 33
Elton John,Dear God,21 At 33,21 At 33
Elton John,Never Gonna Fall In Love Again,21 At 33,21 At 33
Elton John,Take Me Back,21 At 33,21 At 33
Elton John,Give Me The Love,21 At 33,21 At 33
Elton John,Breaking Down Barriers,The Fox,The Fox
Elton John,Heart In The Right Place,The Fox,The Fox
Elton John,Just Like Belgium,The Fox,The Fox
Elton John,Nobody Wins,The Fox,The Fox
Elton John,Fascist Faces,The Fox,The Fox
Elton John,Chloe,The Fox,The Fox
Elton John,Heels Of The Wind,The Fox,The Fox
Elton John,Elton's Song,The Fox,The Fox
Elton John,The Fox,The Fox,The Fox
Elton John,Dear John,Jump Up!,Jump Up!
Elton John,Spiteful Child,Jump Up!,Jump Up!
Elton John,Ball And Chain,Jump Up!,Jump Up!
Elton John,Legal Boys,Jump Up!,Jump Up!
Elton John,I Am Your Robot,Jump Up!,Jump Up!
Elton John,Blue Eyes,Jump Up!,Jump Up!
Elton John,"Empty Garden (Hey, Hey Johnny)",Jump Up!,Jump Up!
Elton John,Princess,Jump Up!,Jump Up!
Elton John,Where Have All The Good Times Gone?,Jump Up!,Jump Up!
Elton John,All Quiet On The Western Front,Jump Up!,Jump Up!
Elton John,Cold As Christmas (In The Middle Of The Year),Too Low For Zero,Too Low For Zero
Elton John,I'm Still Standing,One Night Only,One Night Only
Elton John,Too Low For Zero,Too Low For Zero,Too Low For Zero
Elton John,Religion,Too Low For Zero,Too Low For Zero
Elton John,I Guess That's Why They Call It The Blues,One Night Only,One Night Only
Elton John,Crystal,Too Low For Zero,Too Low For Zero
Elton John,Kiss The Bride,Too Low For Zero,Too Low For Zero
Elton John,Whipping Boy,Too Low For Zero,Too Low For Zero
Elton John,Saint,Too Low For Zero,Too Low For Zero
Elton John,One More Arrow,Too Low For Zero,Too Low For Zero
Elton John,Dreamboat,Too Low For Zero,Too Low For Zero
Elton John,The Retreat,Too Low For Zero,Too Low For Zero
Elton John,Restless,Breaking Hearts,Breaking Hearts
Elton John,Slow Down Georgie (She's Poison),Breaking Hearts,Breaking Hearts
Elton John,Who Wears These Shoes?,Breaking Hearts,Breaking Hearts
Elton John,Breaking Hearts (Ain't What It Used To Be),Breaking Hearts,Breaking Hearts
Elton John,Li'L Frigerator,Breaking Hearts,Breaking Hearts
Elton John,Passengers,Breaking Hearts,Breaking Hearts
Elton John,In Neon,Breaking Hearts,Breaking Hearts
Elton John,Burning Buildings,Breaking Hearts,Breaking Hearts
Elton John,Did He Shoot Her?,Breaking Hearts,Breaking Hearts
Elton John,Sad Songs (Say So Much),One Night Only,One Night Only
Elton John,This Town,Ice On Fire,Ice On Fire
Elton John,Cry To Heaven,Ice On Fire,Ice On Fire
Elton John,Soul Glove,Ice On Fire,Ice On Fire
Elton John,Nikita,Ice On Fire,Ice On Fire
Elton John,Too Young,Ice On Fire,Ice On Fire
Elton John,Wrap Her Up,Ice On Fire,Ice On Fire
Elton John,Satellite,Ice On Fire,Ice On Fire
Elton John,Tell Me What The Papers Say,Ice On Fire,Ice On Fire
Elton John,Candy By The Pound,Ice On Fire,Ice On Fire
Elton John,Shoot Down The Moon,Ice On Fire,Ice On Fire
Elton John,Act Of War,Ice On Fire,Ice On Fire
Elton John,Leather Jackets,Leather Jackets,Leather Jackets
Elton John,Hoop Of Fire,Leather Jackets,Leather Jackets
Elton John,Don't Trust That Woman,Leather Jackets,Leather Jackets
Elton John,Go It Alone,Leather Jackets,Leather Jackets
Elton John,Gypsy Heart,Leather Jackets,Leather Jackets
Elton John,Slow Rivers,Leather Jackets,Leather Jackets
Elton John,Heartache All Over The World,Leather Jackets,Leather Jackets
Elton John,Angeline,Leather Jackets,Leather Jackets
Elton John,Memory Of Love,Leather Jackets,Leather Jackets
Elton John,Paris,Leather Jackets,Leather Jackets
Elton John,I Fall Apart,Leather Jackets,Leather Jackets
Elton John,Town Of Plenty,Reg Strikes Back,Reg Strikes Back
Elton John,A Word In Spanish,Reg Strikes Back,Reg Strikes Back
Elton John,Mona Lisas And Mad Hatters Part Two,Reg Strikes Back,Reg Strikes Back
Elton John,I Don't Wanna Go On With You Like That,Reg Strikes Back,Reg Strikes Back
Elton John,Japanese Hands,Reg Strikes Back,Reg Strikes Back
Elton John,Goodbye Marlon Brando,Reg Strikes Back,Reg Strikes Back
Elton John,The Camera Never Lies,Reg Strikes Back,Reg Strikes Back
Elton John,Heavy Traffic,Reg Strikes Back,Reg Strikes Back
Elton John,Poor Cow,Reg Strikes Back,Reg Strikes Back
Elton John,Since God Invented Girls,Reg Strikes Back,Reg Strikes Back
Elton John,Rope Around A Fool,Reg Strikes Back,Reg Strikes Back
Elton John,I Don't Wanna Go On With You Like That (Shep Pettibone Mix),Reg Strikes Back,Reg Strikes Back
Elton John,I Don't Wanna Go On With You Like That (Just Elton And His Piano Mix),Reg Strikes Back,Reg Strikes Back
Elton John,Durban Deep,Sleeping With The Past,Sleeping With The Past
Elton John,Healing Hands,Sleeping With The Past,Sleeping With The Past
Elton John,Whispers,Sleeping With The Past,Sleeping With The Past
Elton John,Club At The End Of The Street,Sleeping With The Past,Sleeping With The Past
Elton John,Sleeping With The Past,Sleeping With The Past,Sleeping With The Past
Elton John,Stone's Throw From Hurtin',Sleeping With The Past,Sleeping With The Past
Elton John,Sacrifice,One Night Only,One Night Only
Elton John,I Never Knew Her Name,Sleeping With The Past,Sleeping With The Past
Elton John,Amazes Me,Sleeping With The Past,Sleeping With The Past
Elton John,Blue Avenue,Sleeping With The Past,Sleeping With The Past
Elton John,Dancing In The End Zone,Sleeping With The Past,Sleeping With The Past
Elton John,Love Is A Cannibal,Sleeping With The Past,Sleeping With The Past
Elton John,Nice And Slow,The Complete Thom Bell Sessions,The Complete Thom Bell Sessions
Elton John,Country Love Song,The Complete Thom Bell Sessions,The Complete Thom Bell Sessions
Elton John,Mama Can't Buy You Love,The Complete Thom Bell Sessions,The Complete Thom Bell Sessions
Elton John,Are You Ready For Love,The Complete Thom Bell Sessions,The Complete Thom Bell Sessions
Elton John,Three Way Love Affair,The Complete Thom Bell Sessions,The Complete Thom Bell Sessions
Elton John,Simple Life,The One,The One
Elton John,The One,The One,The One
Elton John,Sweat It Out,The One,The One
Elton John,Runaway Train,The One,The One
Elton John,Whitewash County,The One,The One
Elton John,The North,The One,The One
Elton John,When A Woman Doesn't Want You,The One,The One
Elton John,Emily,The One,The One
Elton John,On Dark Street,The One,The One
Elton John,Understanding Women,The One,The One
Elton John,The Last Song,The One,The One
Elton John,Suit Of Wolves,The One,The One
Elton John,Fat Boys And Ugly Girls,The One,The One
Elton John,Teardrops,Duets,Duets
Elton John,When I Think About Love (I Think About You),Duets,Duets
Elton John,The Power,Duets,Duets
Elton John,Shakey Ground,Duets,Duets
Elton John,True Love,Duets,Duets
Elton John,If You Were Me,Duets,Duets
Elton John,A Woman's Needs,Duets,Duets
Elton John,Old Friend,Duets,Duets
Elton John,Go On And On,Duets,Duets
Elton John,Don't Go Breaking My Heart,One Night Only,One Night Only
Elton John,Ain't Nothing Like The Real Thing,Duets,Duets
Elton John,I'm Your Puppet,Duets,Duets
